Mission Summary
Total steps: 222
Path (sorted row/col):
(5,65)
(5,65)
(6,64)
(6,64)
(7,63)
(7,63)
(8,62)
(8,62)
(9,61)
(9,61)
(10,60)
(10,60)
(11,59)
(11,59)
(12,58)
(12,58)
(13,57)
(13,57)
(14,56)
(14,56)
(15,55)
(15,55)
(16,54)
(16,54)
(17,54)
(17,54)
(18,54)
(18,54)
(19,54)
(19,54)
(20,54)
(20,54)
(21,54)
(21,54)
(22,54)
(22,54)
(23,54)
(23,54)
(24,54)
(24,54)
(25,54)
(25,54)
(26,54)
(26,54)
(27,54)
(27,54)
(28,54)
(28,54)
(29,54)
(29,54)
(30,54)
(30,54)
(31,54)
(31,54)
(32,54)
(32,54)
(33,54)
(33,54)
(34,54)
(34,54)
(35,54)
(35,54)
(36,54)
(36,54)
(37,54)
(37,54)
(38,54)
(38,54)
(39,54)
(39,54)
(40,54)
(40,54)
(41,54)
(41,54)
(42,54)
(42,54)
(43,54)
(43,54)
(44,54)
(44,54)
(45,54)
(45,54)
(46,54)
(46,54)
(47,54)
(47,54)
(48,54)
(48,54)
(49,54)
(49,54)
(50,54)
(50,54)
(51,54)
(51,54)
(52,54)
(52,54)
(53,54)
(53,54)
(54,54)
(54,54)
(55,54)
(55,54)
(56,54)
(56,54)
(57,54)
(57,54)
(58,54)
(58,54)
(59,54)
(59,54)
(60,54)
(60,54)
(61,54)
(61,54)
(62,54)
(62,54)
(63,54)
(63,54)
(64,54)
(64,54)
(65,53)
(65,53)
(66,52)
(66,52)
(67,51)
(67,51)
(68,46)
(68,46)
(68,47)
(68,47)
(68,48)
(68,48)
(68,49)
(68,49)
(68,50)
(68,50)
(69,45)
(69,45)
(70,44)
(70,44)
(71,43)
(71,43)
(72,42)
(72,42)
(73,41)
(73,41)
(74,40)
(74,40)
(75,39)
(75,39)
(76,38)
(76,38)
(77,37)
(77,37)
(78,36)
(78,36)
(79,3)
(79,3)
(79,4)
(79,4)
(79,5)
(79,5)
(79,6)
(79,6)
(79,7)
(79,7)
(79,8)
(79,8)
(79,9)
(79,9)
(79,10)
(79,10)
(79,11)
(79,11)
(79,12)
(79,12)
(79,13)
(79,13)
(79,14)
(79,14)
(79,15)
(79,15)
(79,16)
(79,16)
(79,17)
(79,17)
(79,18)
(79,18)
(79,19)
(79,19)
(79,20)
(79,20)
(79,21)
(79,21)
(79,22)
(79,22)
(79,23)
(79,23)
(79,24)
(79,24)
(79,25)
(79,25)
(79,26)
(79,26)
(79,27)
(79,27)
(79,28)
(79,28)
(79,29)
(79,29)
(79,30)
(79,30)
(79,31)
(79,31)
(79,32)
(79,32)
(79,33)
(79,33)
(79,34)
(79,34)
(79,35)
(79,35)
